,ridge,lgbm,rf,elastic_net
Optimized Train Score (R2),0.5177361532737688,0.7280299565732344,0.907380506127647,0.47754749704729305
Optimized Validation Score (R2),0.5189735162554169,0.6624119386103818,0.6391505227877127,0.47911152591406925
