,ridge,lgbm,rf,elastic_net
Optimized Train Score (R2),0.5177387719848479,0.760162742350103,0.5788409380195609,0.437794936227873
Optimized Validation Score (R2),0.5189696826355907,0.662092399687436,0.5647584488253463,0.43934677928920474
